Operator	Operator Domain	Found URL	Final URL
Bolton Clarke		https://www.boltonclarke.com.au/	https://www.boltonclarke.com.au/
Glengollan		https://www.glengollan.com.au/	https://www.glengollan.com.au/
Goldcare		No website	No website
No operator		No website	No website
Mercy Health		https://retirement-living.mercyhealth.com.au/villages/golden-rise-bendigo	https://retirement-living.mercyhealth.com.au/villages/golden-rise-bendigo
Good Shepherd		https://goodshep.org.au/wp-content/uploads/2020/12/remembering-honouring-and-acknowledging-former-residents-of-good-shepherd-homes_pdf-1-mb-2.pdf	https://goodshep.org.au/wp-content/uploads/2020/12/remembering-honouring-and-acknowledging-former-residents-of-good-shepherd-homes_pdf-1-mb-2.pdf
No operator		No website	No website
No operator		https://www.goodwinagedcare.org.au	https://www.goodwinagedcare.org.au
No operator		No website	No website
Keyton		https://keyton.com.au/	https://keyton.com.au/
No operator		No website	No website
No operator		No website	No website
No operator		No website	No website
No operator		No website	No website
No operator		No website	No website
No operator		https://www.greenwaysvillage.com.au	https://www.greenwaysvillage.com.au
No operator		https://www.greenwaysvillage.com.au/contact	https://www.greenwaysvillage.com.au/contact
No operator		https://greenwoodvillagemews.com.au	https://greenwoodvillagemews.com.au
No operator		No website	No website
Keyton		https://keyton.com.au/home/our-villages/vic/abervale	https://keyton.com.au/home/our-villages/vic/abervale
No operator		https://ncnhealth.org.au/service/gwandalan-court-retirement-village	https://ncnhealth.org.au/service/gwandalan-court-retirement-village
No operator		https://www.rslcaresa.com.au/glengowrie-retirement	https://www.rslcaresa.com.au/glengowrie-retirement
No operator		No website	No website
No operator		No website	No website
No operator		No website	No website
Havilah Inc		https://www.havilah.org.au/havilah-on-harkness1.html	https://www.havilah.org.au/havilah-on-harkness1.html
Havilah Inc		https://www.havilah.org.au/havilah-on-palmerston.html	https://www.havilah.org.au/havilah-on-palmerston.html
No operator		No website	No website
No operator		No website	No website
Keyton		https://keyton.com.au/home/our-villages/vic/heathglen	https://keyton.com.au/home/our-villages/vic/heathglen
Country Club Living		https://countryclubliving.com.au/ballarat-retirement-villages/	https://countryclubliving.com.au/ballarat-retirement-villages/
No operator		No website	No website
Levande		https://www.levande.com.au/find-your-community/nsw/	https://www.levande.com.au/find-your-community/nsw/
BASScare		https://www.basscare.org.au/services/hester-canterbury/	https://www.basscare.org.au/services/hester-canterbury/
Arcadia Group		No website	No website
Arcadia Group		No website	No website
Levande		https://www.levande.com.au/community/highlands/life-and-wellbeing/location/	https://www.levande.com.au/community/highlands/life-and-wellbeing/location/
Keyton		https://keyton.com.au/home/our-villages/vic/highvale	https://keyton.com.au/home/our-villages/vic/highvale
No operator		No website	No website
No operator		No website	No website
No operator		No website	No website
Calvary		https://www.calvarycare.org.au/retirement-living/calvary-kooyong-precinct-hyson-apartments-melbourne	https://www.calvarycare.org.au/retirement-living/calvary-kooyong-precinct-hyson-apartments-melbourne
No operator		No website	No website
No operator		No website	No website
Echuca Community for the Aged		No website	No website
Inala		https://inala.org.au/new-inala-ceo-alexandra-davis/	https://inala.org.au/new-inala-ceo-alexandra-davis/
No operator		No website	No website
No operator		No website	No website
Baptcare		https://www.baptcare.org.au/	https://www.baptcare.org.au/
John Curtin		No website	No website
Ryman Healthcare		https://www.rymanhealthcare.com.au/retirement-villages/melbourne/john-flynn	https://www.rymanhealthcare.com.au/retirement-villages/melbourne/john-flynn
Karinya		No website	No website
No operator		No website	No website
Levande		https://www.levande.com.au/	https://www.levande.com.au/
Kellock Lodge		https://kellocklodge.org.au/	https://kellocklodge.org.au/
Bolton Clarke		https://www.boltonclarke.com.au/	https://www.boltonclarke.com.au/
Lifestyle Communities		https://www.lifestylecommunities.com.au/find-your-community/shepparton	https://www.lifestylecommunities.com.au/find-your-community/shepparton
No operator		No website	No website
Kings Living		https://kingsliving.com.au/	https://kingsliving.com.au/
No operator		No website	No website
No operator		No website	No website
Kirkbrae		No website	No website
Ryman Healthcare		https://www.rymanhealthcare.com.au/	https://www.rymanhealthcare.com.au/
Country Club Living		https://countryclubliving.com.au/	https://countryclubliving.com.au/
Keyton		https://keyton.com.au/home/our-villages/vic/waterford-park	https://keyton.com.au/home/our-villages/vic/waterford-park
No operator		No website	No website
No operator		No website	No website
No operator		No website	No website
No operator		No website	No website
Latrobe Valley Village		https://lvv.org.au	https://lvv.org.au
Latvian Friendly Society		No website	No website
St Vincentâ€™s Care		No website	No website
Levande		https://www.levande.com.au/community/donvale/	https://www.levande.com.au/community/donvale/
Levande		https://www.levande.com.au/	https://www.levande.com.au/
No operator		No website	No website
RCA Villages		No website	No website
Linton Court		https://www.lintoncourt.com.au/services-1-1	https://www.lintoncourt.com.au/services-1-1
Lions Club		https://lionsclubs.org.au/find-a-lions-club/	https://lionsclubs.org.au/find-a-lions-club/
Lions Club		https://lionsclubs.org.au/find-a-lions-club/	https://lionsclubs.org.au/find-a-lions-club/
Lions Club		https://lionsclubs.org.au/	https://lionsclubs.org.au/
No operator		No website	No website
Long Island Village		https://longislandvillage.com.au	https://longislandvillage.com.au
Lutheran Homes Group		No website	No website
Lifestyle Communities		https://www.lifestylecommunities.com.au/	https://www.lifestylecommunities.com.au/
Lifestyle Communities		https://www.lifestylecommunities.com.au/retirement-villages/pakenham	https://www.lifestylecommunities.com.au/retirement-villages/pakenham
MDHSS		No website	No website
No operator		No website	No website
Centennial Living		https://centennialliving.com.au/	https://centennialliving.com.au/
No operator		No website	No website
VMCH		https://retirement.vmch.com.au/our-communities/marcellin-kyneton	https://retirement.vmch.com.au/our-communities/marcellin-kyneton
No operator		No website	No website
RCA Villages		No website	No website
RCA Villages		No website	No website
No operator		No website	No website
Martin Luther Homes		No website	No website
No operator		No website	No website
Royal Freemasons		https://www.royalfreemasons.org.au/residential-aged-care/	https://www.royalfreemasons.org.au/residential-aged-care/
Royal Freemasons		https://www.royalfreemasons.org.au/	https://www.royalfreemasons.org.au/
Royal Freemasons		https://www.royalfreemasons.org.au/independent-living/	https://www.royalfreemasons.org.au/independent-living/
Royal Freemasons		https://www.royalfreemasons.org.au/about-us/history/	https://www.royalfreemasons.org.au/about-us/history/
Mayflower		https://www.mayflower.org.au/mayflower-brighton	https://www.mayflower.org.au/mayflower-brighton
Mayflower		https://www.mayflower.org.au/mayflower-macleod	https://www.mayflower.org.au/mayflower-macleod
VMCH		https://vmch.com.au/hubfs/VMCH_CornerstoneMagazine_E4_web-FA2-1.pdf?hsLang=en-au	https://vmch.com.au/hubfs/VMCH_CornerstoneMagazine_E4_web-FA2-1.pdf?hsLang=en-au
VMCH		https://retirement.vmch.com.au/our-communities/mcauley-trentham	https://retirement.vmch.com.au/our-communities/mcauley-trentham
VMCH		https://retirement.vmch.com.au/our-communities/mcauley-trentham	https://retirement.vmch.com.au/our-communities/mcauley-trentham
Country Club Living		https://countryclubliving.com.au/land-estate/meadow-gardens/	https://countryclubliving.com.au/land-estate/meadow-gardens/
No operator		No website	No website
mecwacare		https://www.mecwacare.org.au/services/retirement-living/pascoe-vale-gardens/	https://www.mecwacare.org.au/services/retirement-living/pascoe-vale-gardens/
mecwacare		https://www.mecwacare.org.au/services/retirement-living/the-pines/	https://www.mecwacare.org.au/services/retirement-living/the-pines/
No operator		No website	No website
No operator		No website	No website
No operator		No website	No website
